# rime-lantern gloss table, generated by tools/build_gloss.py
# Source: CC-CEDICT (https://cc-cedict.org), release date 2026-09-17T05:48:14Z, 125072 entries
# Source sha256: 0d8031a4fa0386f1ad10bf7123187dcc536a061fcb9d22cca3cada7517edc1c2
# License: CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Columns: simplified<TAB>traditional<TAB>gloss1; gloss2; gloss3
11区	11區	Japan
2019冠状病毒病	2019冠狀病毒病	COVID-19, the coronavirus disease identified in 2019
21三体综合症	21三體綜合症	trisomy; Down's syndrome
3D打印	3D打印	to 3D print; 3D printing
3D打印机	3D打印機	3D printer
4S店	4S店	authorized full-service car dealership
502胶	502膠	cyanoacrylate glue
95后	95後	people born between 1995-01-01 and 1999-12-31; Gen Z
AA制	AA制	to split the bill; to go Dutch
AB制	AB制	to split the bill; a system where two actors take turns in acting the main role, with one actor replacing the other if either is unavailable
A咖	A咖	A-list; top-tier
A圈儿	A圈兒	at symbol, @
A片	A片	adult movie; pornography
A菜	A菜	A-choy, or Taiwanese lettuce
A货	A貨	good-quality fake
BP机	BP機	beeper; pager
B型超声	B型超聲	type-B ultrasound
B站	B站	Bilibili, Chinese video-sharing website featuring scrolled user comments overlaid on the videos
B超	B超	B-mode ultrasonography; prenatal ultrasound scan
CP值	CP值	value for money; bang for your buck
C位	C位	most prominent position
C盘	C盤	C drive or default startup drive
C罗	C羅	nickname of Portuguese soccer player Cristiano Ronaldo
DNA鉴定	DNA鑒定	DNA test; DNA testing
E仔	E仔	MDMA
G弦裤	G弦褲	G-string
G点	G點	G-spot
H桥	H橋	H bridge
IP剧	IP劇	screen adaptation
JK制服	JK制服	high school girl’s uniform
K书	K書	to cram; to study
K人	K人	to hit sb; to beat sb
K仔	K仔	ketamine
K他命	K他命	ketamine
K房	K房	KTV; KTV room
K歌	K歌	karaoke
K粉	K粉	ketamine
K线	K線	candlestick
K线图	K線圖	candlestick chart
L照	L照	nude picture
M巾	M巾	menstrual pad
NG片段	NG片段	blooper; outtake
NG镜头	NG鏡頭	blooper; outtake
N久	N久	a very long time
N挡	N擋	neutral
OK绷	OK繃	band-aid; sticking plaster
OK镜	OK鏡	OK lens, orthokeratology contact lens that helps reshape the cornea in order to eliminate nearsightedness or myopia
O型腿	O型腿	bow legs; bow-leggedness
PA部	PA部	hotel staff work unit tasked with keeping the public areas of a hotel clean
PO文	PO文	to post a message
P图	P圖	to photoshop a picture; photoshopped picture
P挡	P擋	park; program mode
P民	P民	shitizen; commoner; hoi polloi
QR扣	QR扣	QR code
Q劲	Q勁	springy mouthfeel
Q弹	Q彈	springy; firm; al dente
TF卡	TF卡	microSD card
Tony老师	Tony老師	hairdresser
T台	T台	runway; catwalk
T型台	T型台	runway; catwalk
T字帐	T字帳	T-account
T字裤	T字褲	thong
T恤	T恤	T-shirt
UP主	UP主	uploader; pronounced
USB手指	USB手指	USB flash drive
U凸内裤	U凸內褲	contour pouch brief
U型枕	U型枕	travel pillow
U型池	U型池	vert ramp; half-pipe
U形转弯	U形轉彎	U-turn
U盘	U盤	USB flash drive; thumb drive
U盾	U盾	USB key used as a security token in Chinese online banking
V沟	V溝	low neckline that reveals the cleavage; décolleté; gully
